Dharmarayaswamy Temple Ward,Acquired public road.
Madiwala,Accident due to Compactor waste liquid
Yeshwanthpur,mosquites
Hebbal,Garbage menace
HSR Layout,Stray Dog _old & sick
Dodda Bidarkallu,Clogged sewage water leakage
Kodigehalli,Dead dog
Basavangudi,Remove tree from road side
Basavangudi,Remove tree from road side
Basavangudi,Remove tree from road side
Ramamurthy Nagar,Street Light not functioning
Shiva Nagar,Water leak report
Hagadooru,Pathetic drainage causing unable to live situation
Mathikere,"Inaction by Bangalore City corporation.....Your acknowledgementsto my complaints on 13 june, 5 july and 9 july 2018"
Shanthala Nagar,Garbage Not Cleared
Shanthala Nagar,Garbage Not Cleared
Bommanahalli,Stray dogs outside Embassy Pristine creating nuisance
Jnanabharathi Ward,Road dug in three places by resident for water connection and left unattended.
Singasandra,Khata Transfer not taking place
Jeevanbhima Nagar,Unmaintained plot and snakes
Mathikere,water contimination
Bellandur,Pathetic road situation in Deverabeesanhalli
Malleshwaram,Public nuisance due to Metadoor parking
Singasandra,"All Major Roads in Kudlu, not getting repaired. In really poor condition."
HSR Layout,Drenage Gutter water flooding in entire mohalla
HSR Layout,drenage water flow on the main road
Vasanthapura,Clean the dumped mud which was done at the time of laying new thar to road
Doddanekkundi,Waste Pick Up not done for more than a week
Rajarajeshwari Nagar,desilting of drain in front of 251 krishnaswagath apartments behind BEML COMPLEX RR NAGAR 3RD STAGE
Marathalli,Complaint on Unauthorized Road Dug up
Marathalli,Drainage cannel - unauthorized diversion of drainage canel- objection raised
Begur,Garbage has not been collected from last one week
Radhakrishna Temple,Street lights not working
Govindraja Nagara,Water supply complaint
Govindraja Nagara,Water supply complaint
Bagalagunte,no proper road in 3rd main road mahalakshmi nagar
Bagalagunte,no proper road in 3rd main road mahalakshmi nagar
Bagalagunte,Poor garbage management and not come to collect the garbages from every streets
Singasandra,MAGGAD LAYOUT ROAD BAD CONDITION AND PARKING OTHERS VEHICLES IN OUR AREA
Hoodi,UGD blocked
Singasandra,Regarding Abuse advertisement
Hosakerehalli,Musquito menace in parks
K.R.Puram,"Garbage selling vegatable, tea and vada in footpath"
Ramamurthy Nagar,Water storage in my house
Thanisandra,Garbage from drainage canal left on road
Ramamurthy Nagar,Pollution
Hoodi,Waste plastic burn near Hoodi Railway station
A.Narayanapura,Poor garbage management in A narayanapura kr puram
BTM Layout,No garbage collection
Gottigere,We ar facing dj sound & tower radtion problem in resdential area..next our residental are relance mobil tower problem we r facing
Byrasandra,Street light not working from 2 months
Anjanapur,Garbage piled up in a wrong place and hazardous plastics being burnt..
Anjanapur,Garbage piled up in a wrong place and hazardous plastics being burnt..
Anjanapur,Garbage piled up in a wrong place and hazardous plastics being burnt..
Gurappanapalya,Street Light Not Working its too Dark in Night
Gurappanapalya,Street Light Not Working its too Dark in Night
Vasanth Nagar,regarding enchrochment of land
Attiguppe,My Khata transfer file is not moving
Madiwala,Complaint on door to door garbage collector
Gandhi Nagar,Public nuisance due to Metadoor parking
Kaveripura,Nonmetaling of roads with sanction.
Kaveripura,Nonmetallic of roads with sanction.
Kaveripura,Nonmetallic of roads with sanction.
Dommalur,Blockage of drainage
Konanakunte,About road and kasa autos
Kadugudi,Building a new BBMP ward office
Bellandur,Regarding garbage
Bagalagunte,Street light not working
Hebbal,Street light not working
Dr.Rajkumar Ward,ELECTRIC POLE IN FALLING STAGE (DANGER)
Jalahalli,Foothill path incomplete
Jalahalli,Drainage closing incomplete
Jalahalli,Road damage
Hanumantha Nagar,Street light
Begur,Sewerage connection
Hagadooru,over flow of under water drianage
Sarakki,Drainage overflowing from manhole in front of our house
Jogupalya,"Pit dug by bescom, not closed properly"
Jnanabharathi Ward,Incompleted toilet rooms in Gorguntepalya bus sto
Marenahalli,for birth and death it asks login and password who will give it
Jeevanbhima Nagar,"Illegally occupying of BDA Park at 13th Main , 7th Cross HAL 3rd Stage."
Mathikere,Inaction by BBMP to my complaints..... Khatha ......Ward 36 Mathikere
Laggere,Garbage Vehicle is not coming to Pick Garbage
Ganga Nagar,irregular of garbage auto
Sanjay Nagar,Street light not work
Gottigere,Over grown shrubs/trees & over grown grass
Jeevanbhima Nagar,Construction Noise and illegal construction at SF103 Shriram Spandhana Challaghatta. Bangalore 71
Jeevanbhima Nagar,Construction Noise and illegal construction at SF103 Shriram Spandhana Challaghatta. Bangalore 71
Govindraja Nagara,Street light complaint
Yelachenahalli,The street light not functioning properly.
Attiguppe,Water leakage
Vannarpet,"Regular Blockage in Sanitary lines, Viveknagar 3rd Cross - Ward 115"
K.R.Puram,Garbage collecting issue
Attur,street lights
Malleshwaram,drainage water near my house
Hagadooru,Road blocked puting the sand powder
Horamavu,shop near still using plastic bag
Bellandur,Road Tarring to be done
HAL Airport,Bribe asked for Transfer of Khata
Bilekahalli,Need storm drain
Laggere,Road Sweeping is not doing properly
Konena Agrahara,Absenteesim of door to door garbage collector
Yeshwanthpur,Drainage water over flowing
Yeshwanthpur,sewage water near my house
Arakere,Open Drainage
Rajarajeshwari Nagar,"STREET LIGHT NOT WORKING FOR THE PAST 10 DAYS; 6th CROSS, JANAPRIYA ABODES, KENCHANAHALLI, R R NAGAR"
Gandhi Nagar,Rain water stagnation in front of house
Gandhi Nagar,Rain water stagnation in front of house
Gandhi Nagar,Rain water stagnation in front of house
Uttarahalli,street light
Vasanthapura,Drinage problem in Vasant Vallabh nagar 8th A cross.
Kodigehalli,Drainage water over flowing
Sudam Nagar,Garbage dumping and people urinate on the corner of the road
Vignana Nagar,CIVIC SENSE INDIFFERENCE OF CIVIL ENGINEER
Jayangar,Rain water drains cleaned but mud/dirt left unattended
Gottigere,Correction of Ward number of my Property
Kottigepalya,73 ward sumanahalli dead body burning machines problem
Jakkasandra,Getting disturbance from neighbor hens and making so dirty in front of our home.
Horamavu,"Road Condition Surrounding Hoysala Nagar Hoysala Nagar, Ramamurthy Nagar"
Hemmigepura,Dangerous Rajakaluve
Chikpete,Building in dangerous condition and garbage dumping
K.R.Puram,Regarding garbage collection at KRpuram
Jayangar,Pothole
C.V.Raman Nagar,Garbage overflowing in Cv Raman nagar
Vignana Nagar,No waste disposal and un clean roads
Vignana Nagar,No waste disposal and un clean roads
Vignana Nagar,No waste disposal and un clean roads
Vignana Nagar,No waste disposal and un clean roads
Vignana Nagar,No waste disposal and un clean roads
Bellandur,Wrong mobile number and email entered in BBMP Tax website
Jakkur,Two Big holes on Road
Hebbal,Very big craters on the Road
Malleshwaram,Big pothole causing accidents
Vasanth Nagar,illegal hoarding on footpath
HAL Airport,Bad Roads
Basavanapura,Pot holes - 1st Main road Ward no 53 Basavanapura
HSR Layout,Cleaning of storm water drawin
J.P.Nagar,Garbage collection and snakes presence in unknown site which is next to my home.
J.P.Nagar,Garbage collection and snakes presence in unknown site which is next to my home.
J.P.Nagar,Garbage collection and snakes presence in unknown site which is next to my home.
J.P.Nagar,Garbage collection and snakes presence in unknown site which is next to my home.
J.P.Nagar,Garbage collection and snakes presence in unknown site which is next to my home.
Vasanthapura,steer light not working
C.V.Raman Nagar,Box drainage desilting and broken slabs.
Hemmigepura,Worst Smelling Rajakaluve
Begur,Pathetic road condition
Nagavara,Garbage Collection
Chikpete,Not cleaning the road and not clearing the wastage in 7th Cross H Siddaiah Road Bangalore 560027
Chikpete,Disturbance by heavy vehicles early in the morning.
Begur,Overflow of sewage water
Horamavu,Drainage blocked
Chokkasandra,Drainage Issue
Attiguppe,pot hole and road maintenance
Kengeri,Foul smell due to drainage block in rain water passage
Moodalapalya,ROAD DAMAGES
Jnanabharathi Ward,Trash and waste not picked up every day.
Lingarajapura,Cleaning and rebuilding stormwater drain
Chikpete,Reruest for removal of debris casued while tarring the road
C.V.Raman Nagar,Garbage dumped around the fences of the park
Benniganahalli,A Falling Tree on 5th main 3rd cross NGEF layout has become a Death Trap
Padmanabha Nagar,Frequent drainage leakage
C.V.Raman Nagar,Khata transfer not done even after 1 and half month
J.P.Nagar,Dump in front of our building
Hebbal,The street lights not switching on
HSR Layout,Cleaning of the roads
Ganeshmandira Ward,Garbage Complaint
J.P.Nagar,Drainage Overflow
Malleshwaram,Serious problem of stray dogs
Marathalli,Garbage not picking from 2 weeks very irregular n lady challenged us n said they will not pick garbage from us as v asked why not regular
K.R.Puram,Water Stagnation
Rajaji Nagar,plastic Cups and Plastic bags are used in Hotel Sagar near Navarang theatre.
Hoysala Nagar,Excessive dog barking from inside unlicensed commercial establishment in the neighboring house
Nandini Layout,BBmp workers have damaged my Bullet bike
Hemmigepura,Bad smelling Rajakaluve
Basavanapura,GARBAGE DAMPED CLEAR
Arakere,Tarring of Road
Attur,Footpath -walking road blocked by road site seller -cabbage seller - food sellers at Yelahanka new town 4th cross 4th phase
Arakere,Dog Menace
Arakere,Double deduction of the Tax
Arakere,School without any facility for the students
Yelachenahalli,Regarding closure of hoysala park in isro layout.
Byatarayanapura,path hole on main road causing accidents
Basavangudi,Breakage of Drainage Stone and its sides
Byatarayanapura,House is getting constructed without parking and road and footpath has been encroachment
K.R.Puram,Unable to pay property tax
Sarvagna Nagar,Bbmp waste collecting van is very irregular
Attiguppe,Garbage water litchet flushed on road
Herohalli,CMC water problem in BEL layout Bharath Nagar
Doddanekkundi,Drainage block
Kumaraswamy Layout,Problem with unnecessary small Trees & Road Humps
Kumaraswamy Layout,Cement Roads in Kumaraswamy Layout.
Singasandra,Regards sewage leakage out side my house.
Jayangar,Illegal flexes and Hoardings
HSR Layout,HSR bungalow roads scattered with human waste ..
Hebbal,Street Lights not working for the last three months
Yelahanka Satellite,Playing other language songs by the waste collection Vehicle.
HSR Layout,Bore water (100+ tanks) sold from a residential house .. neighbors have no ground water
HSR Layout,BBMP refuses to take action to vacate commercial office in residential area
Sampangiram Nagar,Misuse of Bore water
Rajarajeshwari Nagar,Garbage Vehicle not coming daily or two days once
Uttarahalli,Sanitary drain leakage on the road
Marathalli,No Personell or Vehicle coming for the garbage collection at Marathalli Ayeppa Layout 3rd Cross
Mathikere,"Complaints against Revenue Officer, Malleswaram and ARO Ward No.36 Mathikere Dept. Staff for corruption"
HSR Layout,Tree about to fall
T-Dasarahalli,humps are not there.
T-Dasarahalli,humps are not there.
Bommanahalli,Bad status of road
Dodda Bidarkallu,Light and water man issue
Hosathippasandra,Drainage Block
Kavalbyrasandra,Illegal construction work without permission
Konanakunte,Not pick the garbege house wastege in my area
Jnanabharathi Ward,Street lights
Kumaraswamy Layout,Unlicensed shop (Hotel)
Bommanahalli,Virat nagar 13th main road is not fixed till the end
J.P.Nagar,Aggressive Garbage picking lady
Gandhi Nagar,daily debris of building materials
Konena Agrahara,Untreated Sewage water being led into Storm water drain
Basavanapura,DAMPED GARBAGE ON ROAD
Chamrajpet,From K R market to Anandapuram road is very dirty smelling and damaged
Malleshwaram,Collection of garbage
Uttarahalli,"Stray dog menace in Palm springs layout, Gubbalala, Bommanahalli Division, Uttarahalli ward"
Doddanekkundi,Uncollected dangerous cables/wires along road side
Vasanth Nagar,Unable to pay property tax
Kodigehalli,Cement and jelly left on middle of road by BBMP
Shivaji Nagar,Garbage dumped on the road
Shivaji Nagar,Poor maintainer of street- Since 3 to 4 month no sweepers are cleaning
Bilekahalli,Need pesticide spray near our home
Shanthi Nagar,"Illegal Structure by Flat No.003 in Graceland Apartments, Eagle Street, Langford Town, Bengaluru-25."
Adugodi,**Important - Complaint on cleaning
Chokkasandra,Bannerghatta National Park road
Kadugudi,Removal of Illegal and dangerous speed breaker on Belthur Road
Anjanapur,Roads not tarred
Yeshwanthpur,illegaly installing valve in my near house
Yeshwanthpur,illegaly installing valve in my near house
Singasandra,Drainage is blocked
Singasandra,Drainage is blocked
Hoysala Nagar,Excessive construction noise (cutting steel bars) immediately next to our house
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Laggere,To change place of mobile indira canteen
Kavalbyrasandra,complaint regarding bad smell next to my shop
Hebbal,"Tree dead from 1.5 YEAR'S ago. Several complaints made to BBMP in RT NAGAR 1 BLOCK PARKS. At 16 cross ADARSHA SCHOOL, POLYTECNIC MAIN gate. NO response. Danger for SCHOOL college student's PARENTS. Local"
Kumaraswamy Layout,Neibour Dogs bark & shit whole day
Kadumalleshwara,street light complaint
J.P.Nagar,Garbage dump in residential area
Varthur,Garbage not collected from locality
Rajarajeshwari Nagar,Garbage dumping ITI layout malathalli
Kumaraswamy Layout,IMMEDIATE REMOVAL OF THE ROADSIDE TREE ( complaint by a Senior Citizen )
Lingarajapura,Bad Roads
Padmanabha Nagar,Street Light Repair
BTM Layout,No street lights on our road
K.R.Puram,Vacant land ? Cleaning vacant land
Hoysala Nagar,Garbage on the road
Hemmigepura,dangerous Open smelling Rajakaluve
Begur,Road not tarred after pipe laying work. The work was completed six months back.
Begur,Pathetic condition of the raod.
Konena Agrahara,Garbage collection
Rajaji Nagar,Garden complaint
Nagarabhavi,With regard to not collecting garbage daily.
HAL Airport,No collection of garbage in street
Jayangar,Request for garbage bins
Bellandur,Dangerous Tree - can fall any time
Pattabhiram Nagar,Unauthorised planing to instal MS Metal box shop in foot path near commercial building in 4th block.
Basavanapura,GARBAGE NOT RESOLVED
Jakkur,Garbage Collection Issue
Singasandra,A proper dead end concerted as a residential site
K.R.Puram,Please clear the garbage heap
Maruthiseva Nagar,Garbage Dumping / Misbehave of sweeper.
Vidyapeetha,Controlling of Rodents (Big Mice) from BBMP Sewage Lines
Benniganahalli,street Light Not working
Kaveripura,Ward number correction
T-Dasarahalli,Nuisance caused on the public road
Jayachamarajendra Nagar,Bad unhygienic roads
J.P.Nagar,Street light issue
Horamavu,Roads are poor in Horamavu and underpass not completed
Vasanthapura,No Proper Roads and requesting new roads
Hoodi,street light issue near Kumbena agrahara to Sadarmangala road
Radhakrishna Temple,Removal of tree / roots of the tree
Shanthi Nagar,Street light not working
Shanthi Nagar,complaint reg overflowing manhole
Ejipura,Garbage on the whole road
Hemmigepura,Smelling RajaKaluve
Shivaji Nagar,Street light
Giri Nagar,Dump in road soil
Giri Nagar,Dump in road soil
K.R.Puram,STREET LIGHT PROLEM
K.R.Puram,STREET LIGHT PROLEM
K.R.Puram,Road repair
Adugodi,Too many street dogs in the area
Jayangar,Street lights not being switched on in night
K.R.Puram,Garbage collection is irregular
Hosakerehalli,"Request for height barrier for 1st Cross, Dattatreya nagar, BSK 3rd Stage"
Jayangar,Road block with construction materials
Horamavu,not able to find horomavu in katha transfer page
Basavanapura,GARBAGE CLEANING
Vannarpet,Dumping garbage on road side. Moreover it is not getting clear.
A.Narayanapura,Sanitary Cleaning not done
HBR Layout,GARBAGE NOT PICKED UP AND GARBAGE MAN BEHAVING RUDE
Rajaji Nagar,tree cutting
Hoodi,Online property tax paid but receipt received
Ganeshmandira Ward,Garbage dump and road caved in
Attiguppe,Accumalition of garbages & mixing Garbage water
Arakere,Deadly and traffic causing pot hole
Thanisandra,Important
Thanisandra,Important
Sanjay Nagar,Garbage
Malleshwaram,FOOTPATH PEOPLE COVERING FULL FOOT PATH
Ejipura,Garbage is not collecting
Uttarahalli,drainage complaints
K.R.Puram,About irregular Garbage collection
K.R.Puram,About irregular Garbage collection
K.R.Puram,Street light complaint
Begur,Waste not getting picked
Hagadooru,Garbage collection
Nagavara,Health hazard due to sewage water accumulated in the open drain in front of my residence.
Arakere,PROPERTY TAX PAYMENT - CAR PARKING AREA NOT REDUCED FROM SUPER BUILT UP
K.R.Puram,Garbage not beeing collected regularly
Sanjay Nagar,Road cleaning staff doing household work during their official working hrs
Chokkasandra,Property Tax amount debited from bank but Paid Status still showing as validity expired
Chokkasandra,Property Tax amount debited from bank but Paid Status still showing as validity expired
Chokkasandra,Property Tax amount debited from bank but Paid Status still showing as validity expired
Benniganahalli,Worst Road maintenance
Horamavu,Street dog sounds
Bagalagunte,Garbage collection
Shivaji Nagar,Street light not working
Yelachenahalli,Complaint against Persistent Generator Noises
Attiguppe,Garbage water mixing in drinking water
Rajaji Nagar,Street light not working
J.P.Park,fruit vendor throwing waste paper and fruits all over street
Benniganahalli,street light not working
H.M.T,Residential Flats used as Girls Hostel and Paying BBMP Tax only at residential rate for Commercial Use
HSR Layout,No Garbage collection
Chikpete,Unauthorised signage / elevation works being carried out and causing inconvenience business owners on Chickpet Main Road
Dommalur,Improper Footpath between NAL(oppo. Manipal Hospital) and ISRo Signal in Old Airport road
Jayamahal,Regarding Tree Leaves and garbage collection
H.M.T,Girls Hostel Running in Apartment Flat of Platinum City
Bellandur,Stray dog nuisance
Kammanahalli,Drainage clean
Shanthi Nagar,Trees and Cables on Roads and Traffic Dividers
Byatarayanapura,"Drinking water, Garbage & Drainage"
Byatarayanapura,"Drinking water, Garbage & Drainage"
Kempegowda,Drainage water coming inside house
Marathalli,Illegal shops are kept in pedestrian path near yamalur main road opposite to CGI India Pvt Ltd
Kammanahalli,Garbage
Kammanahalli,Street Light
Rajarajeshwari Nagar,Irregular garbage collection
Kammanahalli,Garbage cleaning in my locality
Hosathippasandra,Property Tax Payment
Pattabhiram Nagar,Violation of rules and construction .immediate high proriety
Jayachamarajendra Nagar,Main Sewage line is blocked
Radhakrishna Temple,Illegal Removal of Tree and Destroying Drainage/Sewer System in front of House number 334 by owners
C.V.Raman Nagar,Garbage
Bellandur,No garbage collection
Benniganahalli,Nobody is coming for Garbage pickup
Binnipet,Cleaning of Gutter in my locality
Yadiyuru,rajakaluve encroachment
Singasandra,Kudlu village Maggad layout road very bad
Malleshwaram,FOOTPATH VENDORS ON STREET
HSR Layout,flood water entering house
Peenya Industrial Area,Garbage Cleaning
Benniganahalli,Horrible smell outside Byappanahalli metro station
Kammanahalli,Garbage collection
Thanisandra,BBMP official taken bribe and asking for more
Vasanthapura,Road waste clearance made for new tar road laying.
Dodda Bidarkallu,No street lights
Basaveshwara Nagar,"Tender Sure Road destroyed in Shankar Mutt Road, Basaveshwaranagar"
Horamavu,Drain overflow in front of house
Kadugudi,Drainslabs broken due to lorry
Rajaji Nagar,Garbage dumping/Uncollected garbage
Doddanekkundi,Public road blocked entirely by Adarsh Palm Retreat
Bellandur,Trespassing on footpaths in Bellandur main road
Begur,Approach Road to BDA approved apartment and connectivity
Ramamurthy Nagar,Worst road condition.
Varthur,Covering of Open drainage
Kodigehalli,Drinage water black..
J.P.Nagar,Regarding garbage vehicle driver
Singasandra,Street light not working and Road has only potholes
Govindraja Nagara,Garbage collection
Bagalagunte,Bad smell from chicken shop
Bommanahalli,"Garbage thrown around which leads to dengue, snakes found, residents being affected"
Byatarayanapura,Road been dug for long and no Tar has been relaid
Ramaswamy Palya,A proper road being converted to dead end by the neighborhood
Varthur,Jio tower installation next to my home
Horamavu,Rain Water Drain is stuck
Basavanapura,GARBAGE THROUGH ALL AROUND ROADS
Yelachenahalli,removing road hump near the house - reg.
Varthur,noise pollution in late night
Gottigere,Garbage piled up outside our society
Begur,Concern for pollution and depression
Begur,Concern for pollution and depression
Kacharakanahalli,Garbage
Rajaji Nagar,Pile of sanitary & road waste accumulated due to rain to be cleaned
Begur,Concern for pollution and depression
Horamavu,Garbage Collection
Begur,Regarding roads
HSR Layout,Missing road in BBMP records
Begur,Road Repair
Vidyaranyapura,Vacant site owner not cleaning sites
Singasandra,"No Road, Drainage block, Mosquito infested"
Pulikeshi Nagar,Water Logging in Frazer Town 1 st cross Lazer Road M.K Pallya
Bapuji Nagar,ROAD SIDE DUMPING OF DUST AND WASTES NEAR GEETHA ASHRAM WARD NO 134 BAPUJI NAGAR
Sudduguntepalya,Guava Tree fallen or cut behind our home in St. John?s doctors quarters
Singasandra,Need your attention!
Vasanthapura,Street Light Complaint
Bellandur,Loud Noise played by LaCasa restaurant
Bilekahalli,"Lot of potholes in lake City layout, Kodichikkanahalli"
Bilekahalli,"Lot of potholes in lake City layout, Kodichikkanahalli"
Jakkasandra,Parking problem be wise if hotel
Bommanahalli,"Garbage dumped in old manammanpalya road, Bommanahalli"
Attur,regarding coming up with EV charging stations for electric vehicles
Rajarajeshwari Nagar,Sanitation block in rajrajeshwari nagar
Pulikeshi Nagar,Garbage collector irregular
Jayangar,Cutting of the three
Varthur,Garbage collection in munnekolala
Garudacharpalya,Garbage collection not happening
Pulikeshi Nagar,"3/3 WHEELER ROAD,FRASER TOWN BANGALORE 5 - wARD 78 - PROPERTY TRANSFER - OBJECTIONS"
Pulikeshi Nagar,"3/3 WHEELER ROAD,FRASER TOWN BANGALORE 5 - wARD 78 - PROPERTY TRANSFER - OBJECTIONS"
K.R.Puram,Throwing Dump and cow dung in our surroundings
Vishwanathnagenahalli,"Road very bad ward no 22, 11th cross"
Basaveshwara Nagar,Garbage removal
Basaveshwara Nagar,Garbage removal
Manorayanapalya,Further complaint-My Neighbour Making Dog to pass urine and excretion in the newly concreted road in our area.
Anjanapur,Rain Water Drain Cleaning and Tarring of Roads
Hemmigepura,Rain water drain is completely blocked
Hemmigepura,Rain water drain is completely blocked
Vignana Nagar,Regarding vehicular movement noise in narrow street residing area
Singasandra,Road conditions in Maggad layout 1st & 2nd cross very bad
Sudam Nagar,Manhole leakage
Gandhi Nagar,Tree tilting to one side
Kuvempu Nagar,by last one week not removing garbage properly
Ulsoor,change the garbage collecting point from ulsoor market road .It is stinking
Chamrajpet,drainage chamber overflowing
Hemmigepura,Manhole is running out
Yelachenahalli,dumpimg of Waste Garbages in open site
Jaraganahalli,Dumping of garbage causing pollution to residence.
Singasandra,Road Humps for speed breaking
Yelachenahalli,SANITARY PROBLEM AND DRAIN BLOCKED
Singasandra,Street Light Not Working
Manorayanapalya,With regard to nuisance committed by my neighbour
Bilekahalli,Garbage not collected baily
BTM Layout,Sweepers not cleaning road and asking for money everyday
Byatarayanapura,REGARDING construction of grade separator
Herohalli,Road damaged and no footpath
Puttenahalli,Pavement has been removed near school
C.V.Raman Nagar,TREE CAUSING DANGER TO RESIDENT WHILE THE BRANCHES ARE GROWING TOWARDS THE ELECTRIC WIRE GRID
Cottonpet,Wastage and dry garbage
Ullalu,Action Required to control waste garbage disposal at Residential sites or public moving area/no lighting facility also
Nagavara,BBMP offcier not solve my complain which is asssigned to her
K.R.Puram,Garbage is not collected daily
Marathalli,Repair Work commissioning at Dodakanahalli- Kadubeesanahalli road
Begur,Approach Road to BDA approved apartment and connectivity
Bellandur,Road construction
Begur,Garbage not collected daily
Kempegowda,Street light not working
Dommalur,"Tree cut, likely to fall - Old Airport Road, Kodihalli"
Mathikere,Ward no. 36 Mathikere.... Katha imbroglio.... no end in sight
Kottigepalya,Faulty Water meter - Complaint No.588207...
Doddanekkundi,Please Construct or repair the road buses are taking flyover to commute
Begur,Pending pipeline work and footpath
Sarvagna Nagar,Road digging
Sarvagna Nagar,Road digging
Kuvempu Nagar,Digging road
Kuvempu Nagar,Digging road
Kuvempu Nagar,Digging road
Uttarahalli,Sewage/ Drainage overflow for over one and half months
A.Narayanapura,No Waste collection vehicle since one week
Bellandur,Road Repair/Street Light/Drainage facility
C.V.Raman Nagar,Garbage pickup doesn?t come regularly
Sarvagna Nagar,Illegal shed constructed
Kempegowda,Sweepers park the dustbin cart in front of our house
Deepanjali Nagar,"deepanjali nagar stagnent water clean near ganapati nagar bangalore 560026 , vaibhav ganappati temple"
Doddanekkundi,Urgent - Unwanted dumping of sand in land adjacent our premises (the land has NO BOUNDARY WALL) causing great threat to our apartment where almost 500 people are residing - Request to take action ASAP
Sri Nagar,Garbage disposal
Sri Nagar,Garbage disposal
Bellandur,Damaged entrance to aparment
Kaveripura,Garbage is dumped near to our factory compound
Varthur,People are building huts and residing on the main road foot path.
Shanthi Nagar,Street lighting not working
Jnanabharathi Ward,In cress of the robbery in Munieshwarnagar ullal main road
Herohalli,Property ownsership name change
Visvesvarapuram,Setback not left according to Building Bye-laws and deviation from the sanctioned plan
Visvesvarapuram,"Setback not left according to Building Bye-laws and deviation from the sanctioned plan in site No. 14, Jain Temple Road, V.V.Puram, Bangalore 560 004"
Jalahalli,Street cleaning not happening regularly
Herohalli,Road repair and street light
Ulsoor,LAYING OF NEW ROADS
Ulsoor,LAYING OF NEW ROADS
Nayandanahalli,Very bad living situation- musquitos problem
Doddanekkundi,Illegal shed by neighbor in construction site in Ward No.85 Cox Town Sundermurthy Road Bangalore 560005
Garudacharpalya,"Not able to pay online due to ""incorrectly calculated hash parameter"""
BTM Layout,NO PROPER ROADS. ROAD ON HOLES
HBR Layout,Wasting water by washing the entire building every week
BTM Layout,STREET GARBAGE NOT CLEANED
BTM Layout,NO STREET LIGHT AND BULBS
Bagalagunte,Leaving drain water to road
Siddapura,Using commercial purpose for onion gowdon ..which smell dirty and mosquito fly in and around in other house on which neighbor kids are falling sick
Hoysala Nagar,"Empty Property 421/j,Sri KrishnaTemple Road,Indiranagar 1st stage,ward no 80,kept dangerously very dirty.Request for immediate action."
H.M.T,Cauvery water problem
H.M.T,Cauvery water problem
K.R.Puram,Too many mosquitos in Krishnarajapuram
Banasawadi,Dumping building materials
Banasawadi,Dumping building materials
Herohalli,"Water issue in mahadeshwara nagar, herohalli ward"
Attur,Blockage of drain
BTM Layout,Garbage collector not coming from 15 days and asking money
Kacharakanahalli,Need better disposal of garbage
Chokkasandra,Regarding garbage
K.R.Puram,sewage water over flowing on main road
Sudduguntepalya,No Setback
Marathalli,Over bridge for pedestrian crossing
C.V.Raman Nagar,Garbage is spilt on the main road in Kaggadaspura
Ramamurthy Nagar,Street Dogs are causing problem
J.P.Nagar,"Request for speed breaker/road blocks on mini forest road , jp nagar 3rd phase, opposite Honoruble CM Kumarasway's residence"
Bilekahalli,Poor Maintenance Of Footpath
Puttenahalli,Garbage Seggregation infront of society causing a major health hazar.
Marathalli,Clean the Ring Road near Marathahalli
Vasanthapura,Full Garbage in front of the house
Jogupalya,Water logging in front of house
Doddanekkundi,"Garbage Dump in 1st A cross, 1st Main, Nisarga layout Karthik Nagar 560037"
Banasawadi,Growing mosquito menace in banaswadi
Kumaraswamy Layout,Garbage collection van is not coming
Varthur,"Varthur-Kadubeesanhalli road, Boganhalli needs action immediately"
Varthur,In complete the road
Kottigepalya,Building construction without any approvals
Vignana Nagar,Pit water entering house
Mathikere,"corruption, unnecessary delays, inactuion on bbmp part in failing to issue khathas documetns submitted on 14.8. 2017"
Doddanekkundi,"No Road side drains, roads and street lights"
Thanisandra,Entry to our lane has broken boulders restricting four wheeler entry
Hemmigepura,Sanitary blocked from one week
Kavalbyrasandra,Huge mound of garbage disposal- please provide a large bin urgently
HBR Layout,Drainage system
Kacharakanahalli,Removal of construction debris
Begur,"Road is not proper near DLF township when we go towards Bugur infront of the DLF, Please fix it. It is very scary and has become dangerous"
Konena Agrahara,Very badly maintenance of collection garbage
Hampi Nagar,Complaint against illegal compound construction on Road
Banasawadi,Garbage dumbing in front of house
Madiwala,pot holes on madiwala under pass
Visvesvarapuram,street lights not working from 1 month
Kadugudi,Application number not generated for property tax payment
Puttenahalli,Change owner name in Property Tax system
Uttarahalli,Main drainage slabs damaged needs to be replaced by new slabs
Sudam Nagar,Improper Garbage disposal complaint
Doddabommasandra,"Garbage not lifted from the past one week @ Ramachandrapura road,DB Sandra ward-10"
Benniganahalli,Difficulty in paying property tax
Hoysala Nagar,"Drainage overflowing at different points on Double Road, Indiranagar (near Rage Gym, Nagarjuna Restaurant)"
Marathalli,ORR is covered with sand/mud
Horamavu,I had given complaint online in Bbmp sahaaya but it's of no use and no response
Sagayapuram,To clean the street roads no sweepers
Bommanahalli,Reliable Residency roads dug up and left unfinished for 6 months
Vijay Nagar,Commercial building making heavy noise with factory heavy machinery next to my building
Bellandur,Unscientific Road hump every 15mts.
